BoolShMemory MatrixWidth BlockWidth GridWidth H2DTime CalcTime D2HTime 
1 4 27 1 0.042534 0.047772 0.024795
1 16 27 1 0.044629 0.051823 0.025422
1 64 27 1 0.04868 0.05322 0.02633
1 256 27 1 0.049518 0.047144 0.021441
1 1024 27 2 0.04463 0.058458 0.024306
1 4096 27 3 0.058597 0.067608 0.031987
1 16384 27 5 0.099526 0.117055 0.099805
1 65536 27 10 0.224194 0.509431 0.285167
1 262144 27 19 0.743682 3.33602 1.08877
1 1048576 27 38 3.05602 27.4821 3.36794
1 4194304 27 76 14.4239 195.87 6.07567
1 16777216 27 152 49.7346 1580.9 20.383
1 67108864 27 304 194.226 13271.2 76.8948
0 4 9 1 0.042674 0.046725 0.023467
0 16 9 1 0.024725 0.029404 0.016343
0 64 9 1 0.041696 0.049519 0.023467
0 256 9 2 0.045398 0.050915 0.025493
0 1024 9 4 0.02675 0.044699 0.018579
0 4096 9 8 0.073684 0.093379 0.032407
0 16384 9 15 0.098478 0.251433 0.107627
0 65536 9 29 0.255134 1.54142 0.323231
0 262144 9 57 0.972835 12.5846 1.34607
0 1048576 9 114 2.7124 107.656 2.65974
0 4194304 9 228 13.9125 816.249 5.97893
0 16777216 9 456 50.244 6826.66 20.3099
0 67108864 9 911 195.085 59917.9 77.8432
