BoolShMemory MatrixWidth BlockWidth GridWidth H2DTime CalcTime D2HTime 
1 67108864 4 2048 192.718 101486 77.6753
1 67108864 5 1639 193.573 57875.2 77.6818
1 67108864 6 1366 194.732 37490 77.5641
1 67108864 7 1171 193.258 26016.9 77.7292
1 67108864 8 1024 193.306 19292 77.4091
1 67108864 9 911 192.412 18889.9 77.629
1 67108864 10 820 193.925 18041.1 77.3894
1 67108864 11 745 193.459 15548.2 77.7922
1 67108864 12 683 197.071 16699.3 77.8259
1 67108864 13 631 196.027 15719.3 77.8036
1 67108864 14 586 194.715 14975 77.6799
1 67108864 15 547 193.872 14796.4 77.854
1 67108864 16 512 193.685 22317 77.5458
1 67108864 17 482 195.295 14399.4 77.83
1 67108864 18 456 192.97 14528.3 78.1523
1 67108864 19 432 192.321 13888.5 77.8042
1 67108864 20 410 197.986 15329.6 77.7695
1 67108864 21 391 195.3 13512 77.374
1 67108864 22 373 197.054 13917.2 77.614
1 67108864 23 357 193.797 14368.2 77.6964
1 67108864 24 342 194.169 17969.8 77.7284
1 67108864 25 328 193.778 13840.5 77.6567
1 67108864 26 316 192.11 13513 77.6961
1 67108864 27 304 194.329 13268.7 77.8871
1 67108864 28 293 193.312 15965.5 77.6578
1 67108864 29 283 195.61 13644.6 77.6611
1 67108864 30 274 197.226 13985.3 77.9065
1 67108864 31 265 192.935 13716.5 77.7113
1 67108864 32 256 197.508 63648.3 77.789
0 67108864 4 2048 195.932 154865 77.4089
0 67108864 5 1639 197.443 114540 77.3767
0 67108864 6 1366 198.023 83601.6 78.0929
0 67108864 7 1171 193.717 74519 77.1476
0 67108864 8 1024 196.614 57103.9 77.8564
0 67108864 9 911 194.685 59958.5 77.746
0 67108864 10 820 192.591 90363.9 77.8802
0 67108864 11 745 193.613 108280 77.7226
0 67108864 12 683 193.037 142239 77.2658
0 67108864 13 631 197.241 208809 77.3627
0 67108864 14 586 193.616 204854 77.3458
0 67108864 15 547 194.104 227149 77.7077
0 67108864 16 512 198.091 187477 77.7014
0 67108864 17 482 197.541 255659 76.967
0 67108864 18 456 194.058 220366 77.624
0 67108864 19 432 192.156 273047 77.7727
0 67108864 20 410 194.421 211921 77.3814
0 67108864 21 391 194.038 249502 77.2855
0 67108864 22 373 193.784 283046 77.0943
0 67108864 23 357 195.557 192447 77.083
0 67108864 24 342 193.259 194142 77.2981
0 67108864 25 328 193.282 260836 77.338
0 67108864 26 316 193.249 288624 77.394
0 67108864 27 304 194.979 319952 77.5767
0 67108864 28 293 195.791 140023 77.8552
0 67108864 29 283 192.888 132275 77.2069
0 67108864 30 274 194.725 123251 77.9754
0 67108864 31 265 196.021 119993 77.8655
0 67108864 32 256 194.213 125199 76.951
