DataSize BlockSize CPUBandwidth GPUBandwidth optGPUBandwidth
128 64 5.74946 0.022598 0.0244895
256 64 5.37122 0.0441963 0.047262
512 64 5.20123 0.0878412 0.0947582
1024 64 5.12262 0.178784 0.193263
2048 64 5.08324 0.352723 0.383289
4096 64 5.06403 0.72387 0.776933
8192 64 5.05261 1.47793 1.87262
16384 64 5.04826 2.61561 3.30593
32768 64 5.0465 4.05624 5.71751
65536 64 5.04219 5.25945 8.64971
8192 8 5.05189 0.894928 1.1673
8192 16 5.05273 1.22002 1.46216
8192 32 5.05245 1.36227 1.6345
8192 64 5.05281 1.47082 1.78802
8192 128 5.05251 1.2958 1.54789
8192 256 5.05154 1.24483 1.52139
8192 512 5.05102 1.14838 1.45761
8192 1024 5.05271 1.09383 1.46401
